"INTERACTIONCLASSID1";"INTERACTIONCLASSID2";"SEVERITY";"LIKELIHOOD"
268;11944;"schwerwiegend";"Nicht erwiesen"
268;12127;"schwerwiegend";"Nicht erwiesen"
268;12137;"schwerwiegend";"Nicht erwiesen"
268;12350;"schwerwiegend";"Nicht erwiesen"
268;12386;"schwerwiegend";"Begrenzt untersucht."
268;12391;"schwerwiegend";"Nicht erwiesen"
268;12394;"schwerwiegend";"Nicht erwiesen"
268;12399;"schwerwiegend";"Nicht erwiesen"
268;12409;"schwerwiegend";"Nicht erwiesen"
268;12778;"schwerwiegend";"Nicht erwiesen"
268;12840;"schwerwiegend";"Begrenzt untersucht."
268;12844;"schwerwiegend";"Nicht erwiesen"
272;112;"mittelschwer";"Begrenzt untersucht."
272;120;"mittelschwer";"Gut untersucht."
272;127;"mittelschwer";"Gut untersucht."
272;157;"mittelschwer";"Nicht erwiesen"
272;10046;"geringfügig";"Nicht erwiesen"
273;43;"geringfügig";"Begrenzt untersucht."
273;10864;"geringfügig";"Gut untersucht."
276;10014;"mittelschwer";"Begrenzt untersucht."
276;12602;"mittelschwer";"Begrenzt untersucht."
277;11943;"mittelschwer";"Nicht erwiesen"
277;12291;"mittelschwer";"Nicht erwiesen"
277;12292;"mittelschwer";"Nicht erwiesen"
277;12293;"mittelschwer";"Nicht erwiesen"
286;10566;"schwerwiegend";"Begrenzt untersucht."
293;115;"mittelschwer";"Nicht erwiesen"
293;169;"geringfügig";"Nicht erwiesen"
293;201;"mittelschwer";"Begrenzt untersucht."
293;12803;"geringfügig";"Nicht erwiesen"
298;139;"mittelschwer";"Sehr gut untersucht."
298;10166;"mittelschwer";"Begrenzt untersucht."
298;11626;"schwerwiegend";"Begrenzt untersucht."
298;12074;"schwerwiegend";"Gut untersucht."
298;12317;"mittelschwer";"Begrenzt untersucht."
304;175;"mittelschwer";"Begrenzt untersucht."
304;207;"mittelschwer";"Gut untersucht."
304;217;"mittelschwer";"Begrenzt untersucht."
304;10563;"mittelschwer";"Begrenzt untersucht."
304;10964;"mittelschwer";"Begrenzt untersucht."
304;12162;"mittelschwer";"Begrenzt untersucht."
309;152;"Vorsicht";"Begrenzt untersucht."
309;202;"mittelschwer";"Gut untersucht."
311;10438;"mittelschwer";"Begrenzt untersucht."
312;63;"geringfügig";"Begrenzt untersucht."
312;170;"mittelschwer";"Gut untersucht."
313;10205;"mittelschwer";"Begrenzt untersucht."
313;10350;"geringfügig";"Gut untersucht."
315;10078;"Vorsicht";"Nicht erwiesen"
315;10474;"Vorsicht";"Nicht erwiesen"
315;12321;"Vorsicht";"Nicht erwiesen"
315;12322;"Vorsicht";"Nicht erwiesen"
318;122;"schwerwiegend";"Gut untersucht."
318;139;"mittelschwer";"Begrenzt untersucht."
318;483;"schwerwiegend";"Nicht erwiesen"
318;10025;"mittelschwer";"Begrenzt untersucht."
318;10072;"schwerwiegend";"Begrenzt untersucht."
318;10343;"schwerwiegend";"Begrenzt untersucht."
318;11928;"schwerwiegend";"Begrenzt untersucht."
318;12504;"schwerwiegend";"Gut untersucht."
319;157;"mittelschwer";"Sehr gut untersucht."
319;174;"mittelschwer";"Gut untersucht."
319;180;"mittelschwer";"Begrenzt untersucht."
319;428;"mittelschwer";"Begrenzt untersucht."
319;466;"mittelschwer";"Begrenzt untersucht."
319;492;"mittelschwer";"Begrenzt untersucht."
319;10183;"mittelschwer";"Gut untersucht."
319;12256;"mittelschwer";"Begrenzt untersucht."
321;16;"mittelschwer";"Nicht erwiesen"
321;18;"schwerwiegend";"Begrenzt untersucht."
321;37;"schwerwiegend";"Begrenzt untersucht."
321;43;"Vorsicht";"Nicht erwiesen"
321;69;"schwerwiegend";"Begrenzt untersucht."
321;78;"mittelschwer";"Begrenzt untersucht."
321;170;"mittelschwer";"Begrenzt untersucht."
321;172;"mittelschwer";"Nicht erwiesen"
321;206;"mittelschwer";"Begrenzt untersucht."
321;220;"mittelschwer";"Nicht erwiesen"
321;311;"mittelschwer";"Nicht erwiesen"
321;416;"mittelschwer";"Nicht erwiesen"
321;472;"mittelschwer";"Begrenzt untersucht."
321;10025;"mittelschwer";"Begrenzt untersucht."
321;10075;"mittelschwer";"Nicht erwiesen"
321;10205;"mittelschwer";"Gut untersucht."
321;10311;"schwerwiegend";"Gut untersucht."
321;10417;"mittelschwer";"Begrenzt untersucht."
321;10425;"mittelschwer";"Gut untersucht."
321;10664;"mittelschwer";"Begrenzt untersucht."
321;10802;"mittelschwer";"Nicht erwiesen"
321;10865;"mittelschwer";"Begrenzt untersucht."
321;10871;"mittelschwer";"Gut untersucht."
321;11626;"Vorsicht";"Begrenzt untersucht."
321;12164;"Vorsicht";"Begrenzt untersucht."
321;12197;"Vorsicht";"Nicht erwiesen"
321;12283;"mittelschwer";"Begrenzt untersucht."
321;12317;"Vorsicht";"Begrenzt untersucht."
321;12450;"mittelschwer";"Begrenzt untersucht."
321;12722;"mittelschwer";"Gut untersucht."
321;12840;"schwerwiegend";"Gut untersucht."
326;11640;"geringfügig";"Begrenzt untersucht."
334;10852;"mittelschwer";"Begrenzt untersucht."
334;10875;"mittelschwer";"Begrenzt untersucht."
335;31;"mittelschwer";"Gut untersucht."
335;43;"Vorsicht";"Begrenzt untersucht."
335;69;"geringfügig";"Begrenzt untersucht."
335;157;"Vorsicht";"Begrenzt untersucht."
335;202;"geringfügig";"Begrenzt untersucht."
335;10072;"mittelschwer";"Begrenzt untersucht."
335;10093;"mittelschwer";"Nicht erwiesen"
335;10109;"geringfügig";"Nicht erwiesen"
335;10407;"geringfügig";"Begrenzt untersucht."
335;10479;"mittelschwer";"Begrenzt untersucht."
335;11640;"geringfügig";"Begrenzt untersucht."
336;122;"mittelschwer";"Begrenzt untersucht."
336;206;"schwerwiegend";"Nicht erwiesen"
336;11928;"mittelschwer";"Begrenzt untersucht."
337;489;"Vorsicht";"Nicht erwiesen"
337;10000;"mittelschwer";"Gut untersucht."
337;10586;"Vorsicht";"Gut untersucht."
337;12050;"Vorsicht";"Begrenzt untersucht."
339;13;"mittelschwer";"Begrenzt untersucht."
339;106;"mittelschwer";"Sehr gut untersucht."
339;136;"geringfügig";"Begrenzt untersucht."
339;209;"mittelschwer";"Begrenzt untersucht."
339;335;"mittelschwer";"Begrenzt untersucht."
339;415;"mittelschwer";"Begrenzt untersucht."
339;421;"mittelschwer";"Nicht erwiesen"
339;426;"mittelschwer";"Sehr gut untersucht."
339;427;"mittelschwer";"Begrenzt untersucht."
339;10031;"mittelschwer";"Begrenzt untersucht."
339;10075;"schwerwiegend";"Nicht erwiesen"
339;10346;"mittelschwer";"Begrenzt untersucht."
339;10442;"mittelschwer";"Begrenzt untersucht."
339;10453;"geringfügig";"Begrenzt untersucht."
339;10478;"mittelschwer";"Begrenzt untersucht."
339;10507;"mittelschwer";"Begrenzt untersucht."
339;10852;"schwerwiegend";"Begrenzt untersucht."
339;12256;"mittelschwer";"Gut untersucht."
339;12409;"schwerwiegend";"Begrenzt untersucht."
344;7;"Vorsicht";"Begrenzt untersucht."
344;189;"mittelschwer";"Begrenzt untersucht."
344;415;"mittelschwer";"Begrenzt untersucht."
344;452;"mittelschwer";"Begrenzt untersucht."
344;11988;"Vorsicht";"Begrenzt untersucht."
347;9;"Vorsicht";"Begrenzt untersucht."
349;81;"mittelschwer";"Nicht erwiesen"
349;10000;"geringfügig";"Begrenzt untersucht."
349;11379;"geringfügig";"Begrenzt untersucht."
350;37;"mittelschwer";"Nicht erwiesen"
350;90;"mittelschwer";"Nicht erwiesen"
350;204;"schwerwiegend";"Gut untersucht."
350;10072;"schwerwiegend";"Nicht erwiesen"
350;10706;"schwerwiegend";"Gut untersucht."
356;122;"schwerwiegend";"Begrenzt untersucht."
359;46;"mittelschwer";"Gut untersucht."
363;136;"mittelschwer";"Begrenzt untersucht."
372;38;"mittelschwer";"Begrenzt untersucht."
382;416;"Vorsicht";"Begrenzt untersucht."
382;452;"mittelschwer";"Gut untersucht."
382;10442;"mittelschwer";"Gut untersucht."
382;10453;"mittelschwer";"Begrenzt untersucht."
382;10671;"mittelschwer";"Gut untersucht."
382;10973;"mittelschwer";"Gut untersucht."
382;11640;"mittelschwer";"Gut untersucht."
385;33;"mittelschwer";"Begrenzt untersucht."
385;43;"mittelschwer";"Begrenzt untersucht."
385;10311;"mittelschwer";"Gut untersucht."
385;10588;"mittelschwer";"Nicht erwiesen"
385;10594;"mittelschwer";"Gut untersucht."
387;43;"geringfügig";"Gut untersucht."
387;158;"geringfügig";"Begrenzt untersucht."
387;159;"schwerwiegend";"Nicht erwiesen"
387;415;"mittelschwer";"Begrenzt untersucht."
387;452;"mittelschwer";"Begrenzt untersucht."
387;10096;"Vorsicht";"Nicht erwiesen"
387;10961;"geringfügig";"Begrenzt untersucht."
387;11626;"Vorsicht";"Begrenzt untersucht."
390;10152;"Vorsicht";"Begrenzt untersucht."
390;10321;"geringfügig";"Begrenzt untersucht."
390;11626;"geringfügig";"Begrenzt untersucht."
390;12317;"geringfügig";"Begrenzt untersucht."
394;159;"schwerwiegend";"Nicht erwiesen"
394;12840;"mittelschwer";"Begrenzt untersucht."
395;30;"mittelschwer";"Nicht erwiesen"
395;170;"mittelschwer";"Begrenzt untersucht."
395;10311;"schwerwiegend";"Nicht erwiesen"
395;10671;"mittelschwer";"Nicht erwiesen"
395;12290;"mittelschwer";"Begrenzt untersucht."
398;11235;"mittelschwer";"Begrenzt untersucht."
399;63;"mittelschwer";"Begrenzt untersucht."
399;174;"mittelschwer";"Begrenzt untersucht."
399;10183;"mittelschwer";"Begrenzt untersucht."
400;10183;"mittelschwer";"Begrenzt untersucht."
403;9;"mittelschwer";"Gut untersucht."
403;30;"geringfügig";"Nicht erwiesen"
403;202;"mittelschwer";"Nicht erwiesen"
404;53;"mittelschwer";"Begrenzt untersucht."
404;106;"mittelschwer";"Begrenzt untersucht."
404;12306;"mittelschwer";"Begrenzt untersucht."
408;315;"geringfügig";"Nicht erwiesen"
409;20;"schwerwiegend";"Nicht erwiesen"
409;108;"schwerwiegend";"Begrenzt untersucht."
409;311;"schwerwiegend";"Nicht erwiesen"
409;12706;"schwerwiegend";"Nicht erwiesen"
412;359;"schwerwiegend";"Begrenzt untersucht."
413;18;"schwerwiegend";"Begrenzt untersucht."
413;48;"mittelschwer";"Begrenzt untersucht."
413;55;"geringfügig";"Gut untersucht."
413;63;"mittelschwer";"Gut untersucht."
413;70;"schwerwiegend";"Nicht erwiesen"
413;87;"mittelschwer";"Begrenzt untersucht."
413;88;"mittelschwer";"Begrenzt untersucht."
413;91;"schwerwiegend";"Begrenzt untersucht."
413;98;"schwerwiegend";"Gut untersucht."
413;170;"schwerwiegend";"Sehr gut untersucht."
413;185;"mittelschwer";"Nicht erwiesen"
413;195;"geringfügig";"Gut untersucht."
413;268;"schwerwiegend";"Nicht erwiesen"
413;382;"mittelschwer";"Sehr gut untersucht."
413;385;"mittelschwer";"Begrenzt untersucht."
413;475;"mittelschwer";"Gut untersucht."
413;10047;"geringfügig";"Gut untersucht."
413;10049;"geringfügig";"Gut untersucht."
413;10442;"mittelschwer";"Gut untersucht."
413;10453;"mittelschwer";"Sehr gut untersucht."
413;10864;"mittelschwer";"Nicht erwiesen"
413;10956;"mittelschwer";"Nicht erwiesen"
413;12256;"schwerwiegend";"Sehr gut untersucht."
413;12692;"mittelschwer";"Begrenzt untersucht."
415;31;"schwerwiegend";"Begrenzt untersucht."
415;53;"mittelschwer";"Begrenzt untersucht."
415;69;"mittelschwer";"Sehr gut untersucht."
415;106;"mittelschwer";"Begrenzt untersucht."
415;157;"mittelschwer";"Gut untersucht."
415;180;"mittelschwer";"Gut untersucht."
415;206;"mittelschwer";"Nicht erwiesen"
415;209;"mittelschwer";"Begrenzt untersucht."
415;319;"mittelschwer";"Gut untersucht."
415;321;"mittelschwer";"Gut untersucht."
415;482;"geringfügig";"Begrenzt untersucht."
415;10094;"schwerwiegend";"Nicht erwiesen"
415;10096;"mittelschwer";"Begrenzt untersucht."
415;10110;"mittelschwer";"Nicht erwiesen"
415;10199;"mittelschwer";"Nicht erwiesen"
415;10217;"mittelschwer";"Nicht erwiesen"
415;10284;"schwerwiegend";"Nicht erwiesen"
415;10311;"schwerwiegend";"Nicht erwiesen"
415;10346;"mittelschwer";"Nicht erwiesen"
415;10802;"mittelschwer";"Begrenzt untersucht."
415;10857;"mittelschwer";"Begrenzt untersucht."
415;10873;"schwerwiegend";"Sehr gut untersucht."
415;10882;"mittelschwer";"Gut untersucht."
415;10996;"mittelschwer";"Nicht erwiesen"
415;10997;"mittelschwer";"Nicht erwiesen"
415;11028;"mittelschwer";"Gut untersucht."
415;11164;"mittelschwer";"Gut untersucht."
415;11191;"schwerwiegend";"Begrenzt untersucht."
415;11257;"mittelschwer";"Gut untersucht."
415;11569;"mittelschwer";"Nicht erwiesen"
415;11731;"mittelschwer";"Begrenzt untersucht."
415;11740;"mittelschwer";"Begrenzt untersucht."
415;11751;"mittelschwer";"Begrenzt untersucht."
415;12101;"mittelschwer";"Nicht erwiesen"
415;12726;"mittelschwer";"Begrenzt untersucht."
416;18;"mittelschwer";"Nicht erwiesen"
416;63;"mittelschwer";"Begrenzt untersucht."
416;70;"mittelschwer";"Nicht erwiesen"
416;88;"mittelschwer";"Nicht erwiesen"
416;91;"mittelschwer";"Nicht erwiesen"
416;157;"mittelschwer";"Begrenzt untersucht."
416;170;"mittelschwer";"Begrenzt untersucht."
416;180;"mittelschwer";"Begrenzt untersucht."
416;452;"mittelschwer";"Gut untersucht."
416;10004;"mittelschwer";"Nicht erwiesen"
416;10067;"mittelschwer";"Nicht erwiesen"
416;10183;"mittelschwer";"Nicht erwiesen"
416;10225;"mittelschwer";"Begrenzt untersucht."
416;10346;"mittelschwer";"Nicht erwiesen"
416;10397;"mittelschwer";"Begrenzt untersucht."
416;10453;"mittelschwer";"Begrenzt untersucht."
416;10535;"mittelschwer";"Nicht erwiesen"
416;10664;"mittelschwer";"Gut untersucht."
416;10865;"mittelschwer";"Gut untersucht."
416;10871;"mittelschwer";"Gut untersucht."
416;10956;"mittelschwer";"Nicht erwiesen"
416;11257;"mittelschwer";"Sehr gut untersucht."
416;11640;"mittelschwer";"Begrenzt untersucht."
416;11735;"mittelschwer";"Nicht erwiesen"
416;12256;"mittelschwer";"Sehr gut untersucht."
416;12332;"mittelschwer";"Nicht erwiesen"
416;12405;"mittelschwer";"Nicht erwiesen"
416;12439;"mittelschwer";"Nicht erwiesen"
416;12501;"mittelschwer";"Nicht erwiesen"
416;12593;"mittelschwer";"Nicht erwiesen"
416;12605;"mittelschwer";"Nicht erwiesen"
416;12606;"mittelschwer";"Nicht erwiesen"
416;12623;"mittelschwer";"Nicht erwiesen"
416;12644;"mittelschwer";"Nicht erwiesen"
416;12730;"mittelschwer";"Nicht erwiesen"
417;122;"mittelschwer";"Nicht erwiesen"
417;497;"mittelschwer";"Nicht erwiesen"
417;11928;"mittelschwer";"Begrenzt untersucht."
418;67;"mittelschwer";"Begrenzt untersucht."
418;69;"mittelschwer";"Gut untersucht."
418;209;"mittelschwer";"Begrenzt untersucht."
418;321;"mittelschwer";"Gut untersucht."
418;10199;"geringfügig";"Begrenzt untersucht."
418;10287;"Vorsicht";"Begrenzt untersucht."
418;10331;"geringfügig";"Begrenzt untersucht."
418;10350;"mittelschwer";"Gut untersucht."
418;11140;"Vorsicht";"Begrenzt untersucht."
418;11626;"mittelschwer";"Begrenzt untersucht."
418;11670;"mittelschwer";"Begrenzt untersucht."
418;12380;"geringfügig";"Begrenzt untersucht."
420;10225;"geringfügig";"Begrenzt untersucht."
420;11640;"geringfügig";"Begrenzt untersucht."
421;9;"mittelschwer";"Begrenzt untersucht."
421;30;"mittelschwer";"Gut untersucht."
421;31;"mittelschwer";"Gut untersucht."
421;48;"geringfügig";"Nicht erwiesen"
421;50;"geringfügig";"Nicht erwiesen"
421;59;"mittelschwer";"Nicht erwiesen"
421;63;"mittelschwer";"Begrenzt untersucht."
421;73;"mittelschwer";"Nicht erwiesen"
421;122;"schwerwiegend";"Begrenzt untersucht."
421;191;"schwerwiegend";"Nicht erwiesen"
421;415;"mittelschwer";"Nicht erwiesen"
421;476;"mittelschwer";"Nicht erwiesen"
421;482;"geringfügig";"Nicht erwiesen"
421;10072;"mittelschwer";"Gut untersucht."
421;10075;"Vorsicht";"Begrenzt untersucht."
421;10078;"mittelschwer";"Begrenzt untersucht."
421;10126;"mittelschwer";"Nicht erwiesen"
421;10142;"mittelschwer";"Begrenzt untersucht."
421;10196;"schwerwiegend";"Nicht erwiesen"
421;10343;"schwerwiegend";"Nicht erwiesen"
421;10474;"mittelschwer";"Begrenzt untersucht."
421;10479;"mittelschwer";"Begrenzt untersucht."
421;10880;"mittelschwer";"Nicht erwiesen"
421;11006;"mittelschwer";"Nicht erwiesen"
421;11042;"mittelschwer";"Nicht erwiesen"
421;11048;"mittelschwer";"Nicht erwiesen"
421;11207;"schwerwiegend";"Gut untersucht."
421;11257;"mittelschwer";"Begrenzt untersucht."
421;11928;"schwerwiegend";"Nicht erwiesen"
421;12123;"mittelschwer";"Begrenzt untersucht."
421;12485;"mittelschwer";"Nicht erwiesen"
424;27;"schwerwiegend";"Sehr gut untersucht."
424;63;"geringfügig";"Nicht erwiesen"
424;170;"Vorsicht";"Nicht erwiesen"
424;189;"geringfügig";"Begrenzt untersucht."
424;413;"schwerwiegend";"Gut untersucht."
424;10183;"geringfügig";"Nicht erwiesen"
424;10203;"schwerwiegend";"Nicht erwiesen"
424;10225;"mittelschwer";"Begrenzt untersucht."
424;10311;"mittelschwer";"Gut untersucht."
424;10594;"geringfügig";"Nicht erwiesen"
424;10831;"schwerwiegend";"Nicht erwiesen"
424;11732;"mittelschwer";"Begrenzt untersucht."
426;9;"mittelschwer";"Begrenzt untersucht."
426;48;"geringfügig";"Begrenzt untersucht."
426;73;"mittelschwer";"Gut untersucht."
426;186;"Vorsicht";"Nicht erwiesen"
426;415;"geringfügig";"Begrenzt untersucht."
426;476;"geringfügig";"Nicht erwiesen"
426;10025;"mittelschwer";"Begrenzt untersucht."
426;10284;"schwerwiegend";"Begrenzt untersucht."
426;10553;"mittelschwer";"Begrenzt untersucht."
426;10591;"mittelschwer";"Gut untersucht."
426;10664;"mittelschwer";"Begrenzt untersucht."
426;10958;"schwerwiegend";"Sehr gut untersucht."
426;11006;"schwerwiegend";"Begrenzt untersucht."
426;11028;"mittelschwer";"Begrenzt untersucht."
426;11257;"geringfügig";"Begrenzt untersucht."
426;11339;"geringfügig";"Begrenzt untersucht."
426;12053;"schwerwiegend";"Gut untersucht."
426;12239;"mittelschwer";"Begrenzt untersucht."
426;12385;"mittelschwer";"Begrenzt untersucht."
427;18;"schwerwiegend";"Begrenzt untersucht."
427;63;"mittelschwer";"Begrenzt untersucht."
427;70;"schwerwiegend";"Nicht erwiesen"
427;91;"schwerwiegend";"Nicht erwiesen"
427;107;"mittelschwer";"Begrenzt untersucht."
427;158;"mittelschwer";"Gut untersucht."
427;165;"schwerwiegend";"Nicht erwiesen"
427;176;"schwerwiegend";"Nicht erwiesen"
427;189;"mittelschwer";"Begrenzt untersucht."
427;192;"schwerwiegend";"Nicht erwiesen"
427;268;"schwerwiegend";"Nicht erwiesen"
427;349;"mittelschwer";"Begrenzt untersucht."
427;476;"mittelschwer";"Begrenzt untersucht."
427;10025;"schwerwiegend";"Begrenzt untersucht."
427;10071;"schwerwiegend";"Nicht erwiesen"
427;10075;"schwerwiegend";"Nicht erwiesen"
427;10110;"schwerwiegend";"Nicht erwiesen"
427;10116;"schwerwiegend";"Nicht erwiesen"
427;10126;"Vorsicht";"Begrenzt untersucht."
427;10225;"schwerwiegend";"Nicht erwiesen"
427;10284;"schwerwiegend";"Nicht erwiesen"
427;10311;"schwerwiegend";"Nicht erwiesen"
427;10355;"schwerwiegend";"Nicht erwiesen"
427;10420;"schwerwiegend";"Nicht erwiesen"
427;10622;"schwerwiegend";"Begrenzt untersucht."
427;10666;"schwerwiegend";"Nicht erwiesen"
427;10721;"schwerwiegend";"Nicht erwiesen"
427;10958;"mittelschwer";"Gut untersucht."
427;10961;"schwerwiegend";"Nicht erwiesen"
427;10973;"schwerwiegend";"Nicht erwiesen"
427;11006;"schwerwiegend";"Begrenzt untersucht."
427;11048;"schwerwiegend";"Begrenzt untersucht."
427;11500;"schwerwiegend";"Nicht erwiesen"
427;11640;"schwerwiegend";"Begrenzt untersucht."
427;12127;"schwerwiegend";"Nicht erwiesen"
427;12137;"schwerwiegend";"Nicht erwiesen"
427;12239;"mittelschwer";"Begrenzt untersucht."
427;12350;"schwerwiegend";"Nicht erwiesen"
427;12391;"schwerwiegend";"Nicht erwiesen"
427;12394;"schwerwiegend";"Nicht erwiesen"
427;12407;"schwerwiegend";"Nicht erwiesen"
427;12778;"schwerwiegend";"Nicht erwiesen"
427;12844;"schwerwiegend";"Nicht erwiesen"
428;43;"mittelschwer";"Begrenzt untersucht."
428;73;"mittelschwer";"Gut untersucht."
428;167;"mittelschwer";"Nicht erwiesen"
428;189;"mittelschwer";"Begrenzt untersucht."
428;339;"mittelschwer";"Begrenzt untersucht."
428;452;"geringfügig";"Begrenzt untersucht."
428;476;"mittelschwer";"Begrenzt untersucht."
428;10025;"schwerwiegend";"Begrenzt untersucht."
428;10311;"mittelschwer";"Begrenzt untersucht."
428;11257;"schwerwiegend";"Begrenzt untersucht."
428;12385;"mittelschwer";"Begrenzt untersucht."
430;10116;"mittelschwer";"Begrenzt untersucht."
430;10311;"geringfügig";"Begrenzt untersucht."
430;12239;"mittelschwer";"Gut untersucht."
433;122;"mittelschwer";"Nicht erwiesen"
435;67;"mittelschwer";"Begrenzt untersucht."
439;7;"schwerwiegend";"Gut untersucht."
439;10078;"mittelschwer";"Begrenzt untersucht."
439;10186;"mittelschwer";"Nicht erwiesen"
440;24;"schwerwiegend";"Nicht erwiesen"
440;31;"mittelschwer";"Begrenzt untersucht."
440;98;"mittelschwer";"Nicht erwiesen"
440;112;"mittelschwer";"Nicht erwiesen"
440;113;"mittelschwer";"Nicht erwiesen"
440;120;"mittelschwer";"Gut untersucht."
440;122;"geringfügig";"Begrenzt untersucht."
440;10023;"mittelschwer";"Sehr gut untersucht."
440;12600;"schwerwiegend";"Begrenzt untersucht."
442;101;"mittelschwer";"Nicht erwiesen"
442;122;"schwerwiegend";"Nicht erwiesen"
442;147;"mittelschwer";"Nicht erwiesen"
442;10096;"geringfügig";"Nicht erwiesen"
442;10676;"mittelschwer";"Begrenzt untersucht."
443;30;"mittelschwer";"Begrenzt untersucht."
443;190;"mittelschwer";"Begrenzt untersucht."
443;10072;"schwerwiegend";"Nicht erwiesen"
445;69;"mittelschwer";"Begrenzt untersucht."
445;102;"mittelschwer";"Nicht erwiesen"
445;157;"mittelschwer";"Nicht erwiesen"
445;304;"Vorsicht";"Begrenzt untersucht."
445;10331;"Vorsicht";"Begrenzt untersucht."
449;11028;"mittelschwer";"Begrenzt untersucht."
450;10918;"mittelschwer";"Gut untersucht."
450;11235;"mittelschwer";"Gut untersucht."
452;63;"mittelschwer";"Begrenzt untersucht."
452;158;"geringfügig";"Begrenzt untersucht."
452;170;"mittelschwer";"Begrenzt untersucht."
452;180;"mittelschwer";"Gut untersucht."
452;385;"mittelschwer";"Begrenzt untersucht."
452;415;"mittelschwer";"Begrenzt untersucht."
452;420;"mittelschwer";"Begrenzt untersucht."
452;10008;"mittelschwer";"Begrenzt untersucht."
452;10183;"mittelschwer";"Nicht erwiesen"
452;10225;"mittelschwer";"Begrenzt untersucht."
452;10397;"mittelschwer";"Gut untersucht."
452;10525;"schwerwiegend";"Begrenzt untersucht."
452;10664;"mittelschwer";"Sehr gut untersucht."
452;10865;"mittelschwer";"Gut untersucht."
452;10871;"mittelschwer";"Sehr gut untersucht."
452;10877;"mittelschwer";"Gut untersucht."
452;10896;"mittelschwer";"Begrenzt untersucht."
452;11006;"schwerwiegend";"Nicht erwiesen"
452;11257;"mittelschwer";"Sehr gut untersucht."
452;12256;"mittelschwer";"Gut untersucht."
452;12838;"mittelschwer";"Begrenzt untersucht."
457;206;"mittelschwer";"Begrenzt untersucht."
457;452;"geringfügig";"Begrenzt untersucht."
457;10225;"mittelschwer";"Begrenzt untersucht."
457;10442;"geringfügig";"Begrenzt untersucht."
460;12375;"mittelschwer";"Gut untersucht."
460;12673;"mittelschwer";"Nicht erwiesen"
460;12674;"mittelschwer";"Nicht erwiesen"
462;46;"mittelschwer";"Nicht erwiesen"
462;159;"mittelschwer";"Nicht erwiesen"
462;163;"mittelschwer";"Nicht erwiesen"
462;10961;"mittelschwer";"Nicht erwiesen"
462;11196;"mittelschwer";"Nicht erwiesen"
462;12239;"mittelschwer";"Gut untersucht."
463;18;"schwerwiegend";"Nicht erwiesen"
463;63;"mittelschwer";"Gut untersucht."
463;91;"schwerwiegend";"Nicht erwiesen"
463;107;"mittelschwer";"Begrenzt untersucht."
463;165;"schwerwiegend";"Nicht erwiesen"
463;189;"mittelschwer";"Nicht erwiesen"
463;192;"schwerwiegend";"Nicht erwiesen"
463;209;"mittelschwer";"Gut untersucht."
463;427;"schwerwiegend";"Begrenzt untersucht."
463;10096;"geringfügig";"Begrenzt untersucht."
463;10110;"schwerwiegend";"Nicht erwiesen"
463;10142;"schwerwiegend";"Nicht erwiesen"
463;10375;"geringfügig";"Begrenzt untersucht."
463;11257;"schwerwiegend";"Nicht erwiesen"
463;12290;"mittelschwer";"Gut untersucht."
463;12409;"schwerwiegend";"Begrenzt untersucht."
464;43;"mittelschwer";"Begrenzt untersucht."
464;106;"mittelschwer";"Nicht erwiesen"
464;335;"mittelschwer";"Nicht erwiesen"
464;426;"geringfügig";"Begrenzt untersucht."
464;10311;"mittelschwer";"Nicht erwiesen"
464;12290;"mittelschwer";"Begrenzt untersucht."
466;18;"geringfügig";"Begrenzt untersucht."
466;251;"geringfügig";"Sehr gut untersucht."
466;328;"geringfügig";"Sehr gut untersucht."
466;10096;"mittelschwer";"Begrenzt untersucht."
466;10871;"mittelschwer";"Begrenzt untersucht."
469;10837;"mittelschwer";"Sehr gut untersucht."
475;30;"mittelschwer";"Gut untersucht."
475;69;"schwerwiegend";"Sehr gut untersucht."
475;73;"mittelschwer";"Begrenzt untersucht."
475;318;"mittelschwer";"Begrenzt untersucht."
475;321;"mittelschwer";"Gut untersucht."
475;375;"mittelschwer";"Begrenzt untersucht."
475;10004;"mittelschwer";"Nicht erwiesen"
475;10343;"schwerwiegend";"Nicht erwiesen"
475;10350;"geringfügig";"Begrenzt untersucht."
475;10533;"Vorsicht";"Nicht erwiesen"
475;10671;"mittelschwer";"Begrenzt untersucht."
475;11028;"mittelschwer";"Gut untersucht."
475;11095;"mittelschwer";"Begrenzt untersucht."
475;11106;"mittelschwer";"Sehr gut untersucht."
475;12799;"mittelschwer";"Nicht erwiesen"
476;9;"schwerwiegend";"Begrenzt untersucht."
476;13;"geringfügig";"Begrenzt untersucht."
476;63;"mittelschwer";"Begrenzt untersucht."
476;76;"Vorsicht";"Nicht erwiesen"
476;122;"schwerwiegend";"Begrenzt untersucht."
476;189;"mittelschwer";"Gut untersucht."
476;205;"Vorsicht";"Begrenzt untersucht."
476;209;"mittelschwer";"Begrenzt untersucht."
476;415;"mittelschwer";"Gut untersucht."
476;452;"mittelschwer";"Begrenzt untersucht."
476;475;"mittelschwer";"Begrenzt untersucht."
476;10002;"mittelschwer";"Begrenzt untersucht."
476;10183;"mittelschwer";"Nicht erwiesen"
476;10196;"schwerwiegend";"Begrenzt untersucht."
476;10216;"Vorsicht";"Begrenzt untersucht."
476;10284;"mittelschwer";"Nicht erwiesen"
476;10407;"mittelschwer";"Begrenzt untersucht."
476;10877;"mittelschwer";"Nicht erwiesen"
476;10880;"Vorsicht";"Nicht erwiesen"
