"ID";"Hersteller";"Postleitzahl";"Stadt";"Straße und Hausnummer"
16245;"DAN Pharma GmbH";"29451";"Dannenberg";"Marschtorstr. 45"
16246;"HEC Pharm GmbH";"10963";"Berlin";"Gabriele-Tergit-Promenade 17"
16247;"Licher Mt GmbH";"30900";"Wedemark";"Langer Acker 18"
16248;"Ionfarma S.L.U.";"08020";"Barcelona";"Peru 228"
16250;"DiKaTec Medizintechnik GmbH & Co. KG";"97297";"Waldbüttelbrunn";"Industriestr. 7a"
16251;"Niehaus Pharma GmbH & Co. KG";"55218";"Ingelheim";"Königsberger Str. 29"
16256;"Isolife-Apotheken-Grosshandel Hans Jürgen Kreissl. e. Kfm.";"09484";"Oberwiesenthal";"Annabergerstr. 40"
16257;"Vertex Pharmaceuticals (Germany) GmbH";"80331";"München";"Sonnenstr. Zugang 2/2. Stock 19"
16258;"GP-Pharm SA";"08777";"Sant Quinti de Mediona";"P. I. Els Vinyets Ctra. Comarcal 22"
16260;"Dermabene GmbH";"74076";"Heilbronn";"Weipertstr. 8-10"
16261;"Bahnhof-Apotheke";"87435";"Kempten";"Bahnhofstr. 12"
16262;"Rats-Apotheke Lothar Wissel e.K.";"76764";"Rheinzabern";"Hauptstr. 28"
16263;"Dr. Hobein (Nachf.) GmbH med. Hautpflege";"53340";"Meckenheim-Merl";"Grenzstr. 2"
16265;"Walter Kaufmann Nachf. GmbH";"55543";"Bad Kreuznach";"Schwabenheimer Weg 123"
16266;"Vita-Horm R. Scherek GmbH & Co. KG";"78464";"Konstanz";"Alpsteinweg 9"
16267;"Preval Dermatica GmbH";"25499";"Tangstedt";"Lehmkoppel 2"
16270;"Figurapharma GmbH & Co. KG";"22335";"Hamburg";"Sportallee 41-45"
16272;"Selected Pharma GmbH";"97688";"Bad Kissingen";"Bellevue 3"
16274;"Hübner Naturarzneimittel GmbH";"7923";"Ehrenkirchen";"Schloßstr. 11-17"
16276;"European Pharma B.V.";"9723BK";"Groningen";"Osloweg 95A"
16277;"Accord Healthcare GmbH";"80686";"München";"Hansastr. 32"
16278;"Vita Sanotec B.V.";"1119 PW";"Schiphol-Rijk";"Het Poortgebouw Beech Avenue 54-80"
16279;"Miromed GmbH Medical Produkte";"60314";"Frankfurt";"Lindleystr. 12"
16280;"Tzmo Deutschland GmbH";"16359";"Biesenthal";"Waldstr. 2"
16281;"Mediquick GmbH";"49078";"Osnabrück";"Hans-Wunderlich-Str. 6"
16282;"Eurotec GmbH";"40764";"Langenfeld";"Winkelsweg 178-180"
16283;"Novidion GmbH";"51069";"Köln";"Schilfweg 4"
16284;"Xbody Fitnessnahrung GmbH";"13509";"Berlin";"Ernststrasse 58"
16285;"Advancis Medical Deutschland GmbH";"22527";"Hamburg";"Stellinger Steindamm 15"
16286;"Diafarm Laboratorios S.A.";"08210";"Barbera Del Valles (Barcelona)";"Av. D Arraona 119-123"
16288;"Oxmed International GmbH";"46446";"Emmerich Am Rhein";"Groendahlscher Weg 87"
16289;"Analyticon Biotechnologies AG";"35104";"Lichtenfels";"Am Mühlberg 10"
16291;"Cormus GmbH";"40670";"Meerbusch";"Kaarster Straße 2"
16292;"Mantrapharm Ohg";"76532";"Baden-Baden";"Im Rollfeld 30"
16294;"Asav Apoth.Serv.Arzneim.Vertr. GmbH";"83059";"Kolbermoor";"Carl-Jordan-Str. 18"
16295;"Apologo GmbH";"61273";"Wehrheim";"Sandplackenstr. 13"
16296;"NOBAMED Paul Danz AG";"58300";"Wetter";"Höltkenstraße 1-5"
16297;"L'Oreal Deutschland GmbH Geschäftsbereich Vichy";"40474";"Düsseldorf";"Georg-Glock-Str. 18"
16299;"Sporlastic GmbH";"72622";"Nürtingen";"Weberstr. 1"
16301;"Frenchtop Natural Care Products B.V";"";"1718 Mk Hoogwoud";"Westerboekelweg 28"
16302;"Sweet Pharma E.K.";"45149";"Essen";"Scheidtstr. 120"
16303;"Avita Handels GmbH";"22299";"Hamburg";"Leinpfad 29"
16304;"Naturafit GmbH";"91341";"Röttenbach";"Am Sandfeld 9-11"
16305;"Dent-O-Care Dentalvertriebs GmbH";"85635";"Höhenkirchen-Siegertsbrunn";"Rosenheimer Str. 4A"
16306;"Apotheken-Service Supplitt GmbH";"24326";"Ascheberg";"Trentrade 27"
16307;"Dr. Junghans Medical GmbH";"04651";"Bad Lausick";"Käthe-Kollwitz-Str. 34"
16308;"Philips GmbH";"22335";"Hamburg";"Röntgenstr. 22"
16309;"Innovavital GmbH";"83224";"Grassau";"Mitterbachweg 4"
16310;"Aronia Original Naturprodukte GmbH";"01067";"Dresden";"Könneritzstraße 7"
16311;"Centrosan B.V.";"6222 NL";"Nh Maastricht";"Karveelweg 30a"
16312;"Anhalt GmbH";"67592";"Flörsheim-Dalsheim";"Willy-Brandt-Ring 12"
16314;"Heimomed Heinze GmbH & Co. KG";"50170";"Kerpen";"Daimlerstr. 30"
16315;"Hypervital GmbH";"87448";"Waltenhofen";"Ottostr. 6"
16316;"Madena GmbH & Co. KG";"50829";"Köln";"Stöckheimer Weg 1"
16317;"Andreas Fahl Medizintechnik-Vertrieb GmbH";"51149";"Köln (Porz-Gremberghoven)";"August-Horch-Str. 4a"
16318;"Bort GmbH";"71384";"Weinstadt";"Ziegelstr. 39"
16320;"Axisis GmbH";"40477";"Düsseldorf";"Stockkampstr. 40"
16321;"IQ Pharma GmbH";"83435";"Bad Reichenhall";"Frühlingsstrasse 95a"
16323;"Vitalundfitmit100 GmbH";"41236";"Mönchengladbach";"Zingsheimer Str. 19"
16325;"Metax Institut Für Diätetik GmbH";"61169";"Friedberg";"Am Straßbach 5"
16326;"Fr. Kaiser GmbH Drei-Tannen-Werk";"71332";"Waiblingen";"Bahnhofstr. 35"
16328;"Sanimamed Europe Health S.R.L. Attila Kurti";"";"";""
16330;"Purimex GmbH";"46485";"Wesel";"Am Forst 9"
16331;"Codan Pvb Medical GmbH";"23738";"Lensahn";"Stig Husted-Andersen Straße 11"
16332;"Cd Vet Naturprodukte GmbH";"49584";"Fuerstenau";"Industriestrasse 11-13"
16333;"Natures Only / Ceresco";"75012";"Paris";""
16334;"Ligamed Medical Produkte GmbH";"90556";"Cadolzburg";"Pfannenstielstraße 2"
16336;"Smiths Medical Deutschland GmbH";"85630";"Grasbrunn";"Bretonischer Ring 3"
16338;"Medisize Deutschland GmbH";"53721";"Siegburg";"Auf dem Seidenberg 3a"
16339;"Neotopic GmbH & Co. KG";"35394";"Giessen";"Gruenbergerstrasse 70"
16340;"Count Price Company GmbH & Co. KG";"91257";"Pegnitz";"Norisstr. 2"
16341;"P.J.Dahlhausen & Co. GmbH";"50996";"Köln";"Emil-Hoffmann-Str. 53"
16342;"Figureform Wilfinger GmbH";"08230";"Hartberg";"Schildbach 51"
16343;"Districon Vertriebsgesellschaft Mbh";"61273";"Wehrheim";"Am Joseph 15"
16344;"Functional Cosmetics Company AG";"4052";"Basel";"Nauenstrasse 67"
16345;"Börlind-Gesellschaft Für Kosmetische Erzeugnisse Mbh";"75365";"Calw";"Lindenstr. 15"
16347;"H. Von Gimborn GmbH";"46446";"Emmerich";"Albert-Einstein-Str. 6"
16348;"Deutscher Apotheker Verlag Dav";"70191";"Stuttgart";"Birkenwaldstr. 44"
16349;"Dynamis Gesundheitsprod.Vertr. GmbH";"82467";"Garmisch-Partenkirchen";"Am Weidlegraben 8"
16351;"Dado-Cosmed GmbH";"75365";"Calw";"Lindenstr. 15"
16352;"Mpv Medical GmbH";"85640";"Putzbrunn";"Wernher-Von-Braun-Str. 1"
16353;"Medcare Visions GmbH";"85764";"Oberschleißheim";"Bruckmannring 30"
16354;"Pharmadrog GmbH";"24787";"Fockbek";"Brahmkamp 35"
16355;"Pro Medico GmbH";"80538";"München";"Pilotystr. 4"
16357;"Dr. Pandalis Urheimische Medizin GmbH & Co. KG";"49219";"Glandorf";"Füchtenweg 3"
16358;"IMIELSKI MEDICAL SYSTEMS GMBH";"31535";"Neustadt a. Rbge.";"Corveyer Ring 12"
16359;"Intervet Deutschland GmbH";"85716";"Unterschleißheim";"Feldstraße 1a"
16360;"Imp GmbH International Medical Products";"41460";"Neuss";"Osterather Str. 6m"
16361;"Idealderm GmbH";"73441";"Bopfingen";"Hauffstraße 8"
16362;"Dispomed Witt Ohg";"63571";"Gelnhausen";"Am Spielacker 10-12"
16363;"Amt Medica GmbH";"57555";"Brachbach";"Industriestr. 26"
16364;"Musenhof Deidesheim GmbH & Co. KG Privatinstitut F. Biomed. Gesundheit";"67146";"Deidesheim";"Weinstr. 51"
16366;"Pharma Nord Vertriebs GmbH";"24937";"Flensburg";"Schiffbrückstr. 6"
16367;"Mvk Pharma GmbH";"42929";"Wermelskirchen";"Herrlinghausen 3"
16368;"Sweat-Off GmbH";"76549";"Huegelsheim";"Hammweg 9"
16369;"Orgaterm Produktions- U. Warenvertriebs GmbH";"59348";"Lüdinghausen";"Carl-Sonnenschein-Str. 30"
16370;"Tmh Medizinhandel GmbH & Co. KG";"47169";"Duisburg";"Kaiser-Friedrich-Str. 141"
16371;"Langguth Chemie GmbH";"86343";"Königsbrunn";"Wandalenstr. 6"
16372;"Apozen Vertriebs GmbH";"83435";"Bad Reichenhall";"Fruehlingstr. 95A"
16373;"Vita Natura B.V.";"";"6414 Aj Heerlen";"Heerenweg 251"
16374;"Henry Schein Medical GmbH";"10559";"Berlin";"Alt-Moabit 90b"
16375;"Classic-Line Warenhandelsgesellschaft Mbh";"58285";"Gevelsberg";"Kölner Str. 110c"
16376;"Pharkos GmbH Pharma Und Kosmetik";"83734";"Hausham";"Thalerweg 12"
16377;"Link Chemie AG";"73614";"Schorndorf";"Dürrwiesen 16"
16378;"Ncm Nahrungsergänzung Naturcos. GmbH";"82041";"Oberhaching";"Grünwalder Weg 28B"
16380;"Wörishofener Kräuterhaus Dr. Pfeifer GmbH";"70734";"Fellbach";"Berliner Platz 2"
16381;"Offro GmbH";"52064";"Aachen";"Maria-Theresia-Allee 43"
16382;"Lsp Sporternährung GmbH";"53111";"Bonn";"Bertha-Von Suttner Platz 2-4"
16383;"Weber Consult";"54294";"Trier";"Graf-Reginar-Strasse 39"
16384;"Verlag Ganzheitlich Leben GmbH";"22926";"Ahrensburg";"Neue Strasse 5-7"
16385;"Adebo Medical & Trade GmbH";"10707";"Berlin";"Olivaer Platz 3"
16388;"Vita World GmbH";"65232";"Taunusstein-Bleidenstadt";"Rudolf-Dietz-Str. 30"
16389;"Compressana GmbH";"93073";"Neutraubling";"Böhmerwaldstr. 3"
16390;"Hanoju Deutschland GmbH";"49577";"Ankum";"Schafdamm 21"
16391;"Suprima GmbH";"95460";"Bad Berneck";"Kulmbacher Str. 31-35"
16393;"Pvd Pharmavertrieb Deutschland AG";"64658";"Fürth";"Am Bächlein 10"
16394;"Ales Groupe Cosmetic Deutschland GmbH";"60314";"Frankfurt Am Main";"Hanauer Landstr. 135-137"
16395;"Mapa GmbH";"27404";"Zeven";"Industriestr. 21-25"
16396;"Dr. Babor GmbH & Co. KG";"52062";"Aachen";"Neuenhofstr. 180"
16397;"Laserpoint Aesthetic Goods GmbH";"59394";"Nordkirchen";"Aspastr. 24a"
16400;"Dermatica Exclusiv Horst Spickermann GmbH";"50858";"Köln";"Toyota-Allee 37"
16401;"Eu-Medical GmbH";"01277";"Dresden";"Bärensteiner Str. 27-29"
16402;"Thuasne Deutschland GmbH";"30938";"Burgwedel";"Im Steinkamp 12"
16404;"Provista AG";"30916";"Isernhagen";"Jathostr. 1-3"
16405;"Neurolab Vital GmbH";"86150";"Augsburg";"Halderstr. 16"
16406;"MEDICALimpex Import Export medizinische Produkte";"68809";"Neulußheim";"Blumenstr. 18"
16407;"Dentaid GmbH";"68199";"Mannheim";"Innstrasse 34"
16408;"Body Attack Sports Nutrition GmbH & Co. KG";"22525";"Hamburg";"Ottensener Str. 14"
16410;"Naos Deutschland GmbH";"80538";"München";"Widenmayerstraße 46"
16412;"Vitez GmbH";"80939";"München";"Wachterstr. 7"
16413;"Caudalie Deutschland GmbH";"20099";"Hamburg";"Gurlittstr. 24"
16414;"Herbasinica Hilsdorf GmbH";"91126";"Rednitzhembach";"Penzendorfer Str. 12"
16415;"Primavera Life GmbH";"87466";"Oy-Mittelberg";"Naturparadies 1"
16416;"Maier Pharma Vertrieb GmbH";"85777";"Fahrenzhausen";"Gewerbering 5"
16417;"Servona GmbH";"53842";"Troisdorf";"Biberweg 24-26"
16418;"Kosmetik Forum GmbH";"24103";"Kiel";"Alter Markt 1-2"
16419;"Leapharm Apoth.Franz Leiss";"82140";"Olching";"Hauptstraße 30"
16422;"Prosan Pharmazeutische Vertriebs GmbH";"40789";"Monheim Am Rhein";"Am Knipprather Busch 20"
16423;"Apotheke Am Prediger";"73525";"Schwäbisch Gmünd";"Bocksgasse 27"
16424;"Animas/Ortho-Clinical Diagnostics GmbH";"69151";"Neckargemünd";"Karl-Landsteiner. Str. 1"
16427;"Avoxa - Mediengruppe Deutscher Apotheker GmbH";"65760";"Eschborn";"Carl-Mannich-Str. 26"
16428;"Haus Rabenhorst O. Lauffs GmbH & Co. KG";"53572";"Unkel / Rhein";"Rabenhorststr. 1"
16429;"Hemedis GmbH";"09638";"Lichtenberg";"Dorfstr. 106"
16430;"Quintessenz Health Products GmbH";"41564";"Kaarst";"Badeniastr. 27"
16432;"M.Schilling GmbH Medical Products";"63571";"Gelnhausen-Hailer";"Kappeswiesen 18"
16434;"Sonnenmoor Verwertungs- U. Vertriebs GmbH";"5102";"Anthering";"Landstr. 14"
16435;"Wachendorff Chemie GmbH";"53842";"Troisdorf";"Langbaurghstr. 15"
16436;"Asstor Reinstwassertechnik E.K.";"44577";"Castrop-Rauxel";"Bussardstr. 1"
16437;"Impex Company E.K.";"88213";"Ravensburg";"Gertrud Ehrle Weg 33"
16438;"Oral-Prevent GmbH";"22301";"Hamburg";"Blumenstr. 54"
16441;"Melasan Produktions & Vertriebs GmbH";"";"5301 Eugendorf";"Nordstr. 1"
16442;"Prodent Dentalbedarf GmbH";"96450";"Coburg";"Nicolaus-Zech-Strasse 36"
16443;"Teleflex Medical GmbH Marketing";"71394";"Kernen-Rommelshausen";"Willy-Rüsch-Str. 4-10"
16444;"Easycare Research GmbH";"66663";"Merzig-Besseringen";"In Der Bruchwies 10"
16445;"Trimedicales GmbH";"63303";"Dreieich";"Goethering 34"
16446;"Vita-Confort Solutions AG";"9001";"St. Gallen";"Oberstr. 125A"
16447;"Heilerde Gesellschaft Luvos Just GmbH & Co. KG";"61381";"Friedrichsdorf";"Otto-Hahn-Str. 23"
16448;"Sirius GmbH";"40789";"Monheim Am Rhein";""
16449;"Arktis Biopharma GmbH & Co. KG";"58739";"Wickede Ruhr";"Westerhaar 16"
16450;"Pharmavertrieb Heinze GmbH";"79539";"Lörrach";"Mauerstr. 2-6"
16451;"Jovita Pharma";"82441";"Ohlstadt";"Dreitorspitzstr. 4"
16452;"Epi-3 Healthcare GmbH";"60433";"Frankfurt Am Main";"Körberstraße 12"
16453;"Vitaline Greenlife Ltd.";"";"County Kerry - Killarney";""
16454;"Rogg Verbandstoffe GmbH & Co. KG";"85777";"Fahrenzhausen";"Oberndorfer Str. 7"
16455;"Meditrade GmbH";"83088";"Kiefersfelden";"Medipark 1"
16456;"Dr.Dagmar Lohmann Pharma + Medical GmbH";"12681";"Berlin";"Meeraner Str. 17D"
16457;"Sanaponte GmbH";"83052";"Bruckmühl";"Gewerbepark Bwb 26a"
16458;"Galonsky Pharma-Vertrieb Gbr";"21360";"Vögelsen";"Kiefernweg 21"
16459;"Dunker Medizin-Und Röntgenprodukte GmbH";"45525";"Hattingen";"Heinrich-Hill-Str. 3"
16460;"Jean Products GmbH";"97783";"Karsbach";"Steinmühlenweg 4"
16461;"Groß GmbH Med.-Techn. Vertretung";"72654";"Neckartenzlingen";"In Den Fleckenäckern 45"
16462;"Hollister Incorporated Niederlassung Deutschland";"80992";"München";"Riesstrasse 25"
16464;"Profimed GmbH";"83071";"Stephanskirchen";"Neue Straße 11"
16466;"Alphamed GmbH";"66386";"St. Ingbert";"Schlackenbergstr. 39a"
16467;"Gynemed GmbH & Co. KG";"23738";"Lensahn";"Lübecker Str. 9"
16468;"Milupa Nutricia GmbH";"60329";"Frankfurt am Main";"Am Hauptbahnhof 18"
16469;"Humatrix AG";"60386";"Frankfurt/Main";"Carl-Benz-Str. 21"
16470;"Kyberg experts GmbH";"82041";"Oberhaching";"Keltenring 8"
16471;"Greenlife Value GmbH C/O Fiege Logistik Stiftung&Co. KG";"14979";"Großbeeren";"Märkische Allee 15"
16473;"Bebivita GmbH";"80333";"München";"Kardinal-Faulhaber-Str. 14a"
16476;"Heidelberger Chlorella GmbH";"69181";"Leimen - St. Ilgen";"In Der Heidelslach 4"
16477;"Flores Medical GmbH";"07330";"Probstzella";"Auwiesen 12"
16478;"Micro-Medical Instrumente GmbH";"61462";"Königstein";"Falkensteiner Str. 4"
16480;"Param GmbH";"22145";"Hamburg";"Bei der Neuen Münze 20"
16481;"Amapharm GmbH";"66589";"Merchweiler";""
16482;"Carromco Medical GmbH";"22844";"Norderstedt";"Langenharmer Weg 63g"
16483;"Bcg Baden-Baden Cosmetics Group GmbH";"76532";"Baden-Baden";"Im Rosengarten 7"
16485;"Abs-Original Opc Vertrieb";"6290";"Mayrhofen";"Hauptstr. 436"
16486;"La Mer Cosmetics AG";"27478";"Cuxhaven";"Hinrich-Wilhelm-Kopf-Str. 3"
16487;"Tepe D-A-Ch GmbH";"22335";"Hamburg";"Flughafenstr. 52"
16489;"Gzmn";"80935";"München";"Rainfarnstr. 36"
16490;"Body Prod. Relax GmbH";"50226";"Frechen";"Alfred-Nobel-Str. 1-3"
16491;"Apotheke An Der Universität Inh. Dr. Thomas Kleine Ek";"33615";"Bielefeld";"Jakob-Kaiser-Str. 3"
16492;"Dentognostics GmbH";"07745";"Jena";"Tatzendpromenade 2"
16494;"Estee Lauder Companies GmbH";"80807";"Muenchen";"Domagkstraße 10"
16495;"Abena GmbH";"06780";"Zörbig Ot Großzöberitz";"Lösnitz Mark 23"
16496;"Jab Biopharma Jürgen Antonius Breuer";"57482";"Wenden";"Zum Schönauer Holz 9"
16497;"Tropicare Deutschland GmbH";"40549";"Düsseldorf";"Hansaallee 321"
16498;"Dr. Grandel GmbH GB Nahrungsergänzung";"86150";"Augsburg";"Pfladergasse 7-13"
16499;"Hyapur Deutschland GmbH";"14057";"Berlin";"Suarezstr. 26"
16500;"Promediskin GmbH";"76530";"Baden-Baden";"Sophienstr. 7"
16501;"Höga-Pharm G.Höcherl";"93413";"Cham";"Gutmaninger Str. 17"
16502;"Julius Zorn GmbH";"86551";"Aichach";"Juliusplatz 1"
16503;"Tracoe Medical GmbH";"55268";"Nieder-Olm";"Reichelsheimer Str. 1 / 3"
16504;"Mednovis GmbH & Co. KG";"";"";""
16505;"ApoTeam GmbH";"48356";"Nordwalde";"Denkerstiege 11"
16506;"Apotheek Rijnsoever B.V.";"2221";"Be Katwijk Ann Zee";"Hoornesplein 111-113"
16507;"Transatlantic Stolpe & Co.Mbh";"61267";"Neu-Anspach";"Siemensstraße 21-23"
16508;"Dez - Aktas Group Michael Aktas";"22041";"Hamburg";"Wandsbeker-Königstr. 50"
16509;"Dr. Hesse Tierpharma GmbH & Co. KG";"25551";"Hohenlockstedt";"Kieler Str. 36A"
16511;"Fuhrmann GmbH";"53804";"Much";"Gewerbegebiet Bövingen 139"
16512;"Verlag Für Therapeutische Medien Dr. Stein & Co. Ohg";"58642";"Iserlohn";"Brinkhofstr. 86"
16513;"Sidroga Gesellschaft für Gesundheitsprodukte mbH";"56130";"Bad Ems";"Arzbacher Str. 78"
16514;"Layenberger Nutrition Group GmbH";"67688";"Rodenbach";"Am Tränkwald 10"
16515;"Jean-Pierre Rosselet Cosmetics AG";"28832";"Achim";"Bremer Straße 70"
16516;"Taoasis GmbH Natur Duft Manufaktur";"32758";"Detmold";"Dahlbrede 3"
16517;"Amosvital GmbH";"51063";"Köln";"Romaneystr. 11"
16518;"Beiersdorf Ag/Gb Deutschland Vertrieb";"";"";""
16520;"Spinnrad GmbH";"23795";"Bad Segeberg";"Bahnhofstraße 1-3"
16521;"L'Oreal Deutschland GmbH Geschäftsbereich Roger & Gallet";"";"";""
16522;"Dr. Wolz Zell GmbH";"65366";"Geisenheim";"Marienthaler Str. 3"
16523;"Murnauer Markenvertrieb GmbH";"65468";"Trebur";"Diamantstraße 18"
16524;"Hannes Pharma Nutricon GmbH & Co. KG";"87480";"Weitnau";"Engel Hirsch 20"
16525;"Bioartis GmbH";"77815";"Bühl / Baden";"Honaustr. 17"
16526;"Gebrüder Nippes GmbH & Co. KG";"42651";"Solingen";"Kyffhaeuser Str. 18"
16527;"Apotheker Bauer & Cie.";"81671";"München";"Rosenheimerstr. 139"
16530;"Pendiq GmbH";"47441";"Moers";"Baerler Str. 100"
16532;"Delmed Versandapotheke Manouchehr Delnava E.K.";"50226";"Frechen";"Europaallee 33a+e"
16533;"Bosch + Sohn GmbH & Co.";"72417";"Jungingen";"Bahnhofstr. 64"
16534;"Mörser-Stahlwaren GmbH";"42655";"Solingen";"Mangenberger Str. 330"
16535;"Plantocaps Pharm GmbH";"8600";"Bruck An Der Mur";"Primbschweg 2"
16536;"Heinz Herenz Medizinalbedarf GmbH";"21031";"Hamburg";"Rudorffweg 10"
16538;"Carboo4u Sport Vertriebs GmbH & Co. KG";"50996";"Köln";"Emil-Hoffmann-Str. 55-59"
16539;"Miv Management Ag Für Integrierte Versorgung";"81475";"München";"Königswieser Str. 5"
16540;"Medicus Naturheilmittel GmbH";"75365";"Calw";"Gartenstr. 1"
16543;"Arcadia Ug (Haftungsbeschränkt)";"14532";"Kleinmachnow";"Kapuzinerweg 10"
16544;"Bonk Pharma GmbH";"54329";"Konz";"Theodor-Heuss-Straße 2"
16545;"Principelle Deutschland Ug (Haftungsbeschränkt)";"25436";"Moorrege";"Achtern Barg 1a"
16548;"Junek Europ-Vertrieb GmbH";"8750";"Judenburg";"Hauptplatz 17"
16549;"Igefa Handelsgesellschaft Mbh&Co. KG Bereich Medical";"16356";"Ahrensfelde Ot Blumberg";"Henry-Kruse-Str. 1"
16550;"Biamed GmbH";"48432";"Rheine";"Sinninger Str. 77"
16552;"Promed GmbH";"82490";"Farchant";"Lindenweg 11"
16553;"Arando Ohg";"28844";"Weyhe";"Mühlenkamp 38"
16554;"Ideapro GmbH";"68159";"Mannheim";"Binnenhafenstr. 7"
16555;"Peter Pflugbeil GmbH Medizinische Instrumente";"85604";"Zorneding";"Georg-Wimmer-Ring 21"
16556;"Azt-Handel GmbH";"74336";"Brackenheim";"Sternenfelser Str. 3"
16557;"Most Active Health Care GmbH";"79359";"Riegel";"Bahnhofstr. 6"
16558;"Arthroven Innovative Medizinische Hilfs- Mittel & Medizintechnik GmbH";"78126";"Königsfeld";"Hermann-Voland-Straße 26"
16559;"Ascopharm GmbH";"38845";"Wernigerode";"Im Bruchanger 6"
16560;"Mercanitas Handels GmbH";"40699";"Düsseldorf-Erkrath";"Albert-Einstein-Str. 5"
16561;"Alexander Weltecke GmbH & Co. KG";"59073";"Hamm";"Auf dem Knuf 15"
16562;"Bms B.V.";"7547";"Te Enschede";"Marssteden 57A"
16563;"Apeiron Handels GmbH & Co. KG";"49134";"Wallenhorst";"Robert-Bosch-Str. 6"
16564;"Impromediform GmbH Intensiv Medical Products";"58513";"Luedenscheid";"Gielster Stueck 11"
16565;"Panaceo Deutschland GmbH";"72793";"Pfullingen";"Schlossgartenstr. 2"
16566;"Nps New Product Service GmbH";"86381";"Krumbach";"Franz-Aletseestr. 5"
16568;"Credo-Stahlwarenfabr.Gustav Kracht";"42653";"Solingen";"Schlagbaumer Str. 35"
16569;"Foodix Pronatura Marketing Ltd.";"";"Killarney Co. Kerry";""
16572;"Plantavis GmbH";"14482";"Potsdam";"Rosa-Luxemburg-Str. 19"
16573;"Mbh-International A/S";"65510";"Huenstetten";"Huegelstrasse 25B"
16576;"Ofa Bamberg GmbH";"96052";"Bamberg";"Laubanger 20"
16578;"Minksports GmbH";"33332";"Gütersloh";"Turnerstr. 7a"
16579;"Plewnia Naturprodukte Kraftquelle Natur";"79730";"Murg";"Zechenwihlstr. 15"
16580;"Canina Pharma GmbH";"59069";"Hamm";"Kleinbahnstr. 12"
16581;"Kryolan GmbH";"13409";"Berlin";"Papierstr. 10"
16582;"Krewi Medical Produkte GmbH";"47877";"Willich";"Siemensring 78a"
16584;"Sundo Homecare GmbH";"30851";"Langenhagen";"Wümmehof 97"
16585;"Nmp Neuwirth Medical Products GmbH";"63785";"Obernburg";"Bachstrasse 10"
16586;"Spagyra GmbH & Co. KG";"5082";"Grödig";"Marktplatz 5a"
16587;"Abc Apotheken-Bedarfs-Contor GmbH";"41564";"Kaarst";"Bruchweg 126"
16588;"Wilhelm Wehmann & Co. KG";"24568";"Kaltenkirchen";"Gottlieb-Daimler-Str. 4"
16589;"Medicom Pharma GmbH";"31832";"Springe";""
16590;"Biobridge Europe GmbH";"16727";"Oberkrämer";"Zu den Eichen 5"
16591;"USmed Medizinprodukte e.K.";"34123";"Kassel";"Bunte Berna 31"
16592;"Naturheilzentrum Kloster Gerresheim GmbH";"40625";"Düsseldorf";"Pfeifferstr. 68"
16593;"Löwenstein Medical GmbH & Co. KG";"56130";"Bad-Ems";"Arzbacher Straße 80"
16594;"Alltrade Vertriebs GmbH & Co. KG";"47441";"Moers";"Baerler Strasse 100"
16595;"Med.Kontex GmbH Medizinische Konfektion Und Op Textilien Medicalprodukte";"47918";"Tönisvorst/Krefeld";"Ostring 12"
16596;"Biomaris GmbH & Co. KG";"28219";"Bremen";"Parallelweg 14"
16598;"Bierstedt Sports & Health Products Ltd.";"94227";"Lindberg";"Buchenau 31"
16599;"Miro Verbandstoffe GmbH";"51674";"Wiehl";"In Den Wiesen 3"
16600;"Medela Med. Techn. GmbH & Co. Handels Kg";"85386";"Eching";"Korbinianstr. 2"
16602;"Asam Betriebs- GmbH";"92339";"Beilngries-Aschbuch";"Altenzeller Weg 16"
16603;"Bavarian Lifescience";"83071";"Stephanskirchen";"Baumerstraße 62"
16608;"Dr. Muche GmbH";"80995";"München";"Joseph-Seifried-Str. 8"
16609;"Alpha Aktiv GmbH";"79112";"Freiburg";"Im Moos 13"
16610;"Innocom GmbH";"26125";"Oldenburg";"Ehnkenweg 9"
16611;"Stadelmann Verlag";"87487";"Wiggensbach";"Nesso 8"
16612;"Alva Naturkosmetik GmbH & Co. KG";"49143";"Bissendorf";"Gewerbepark 19"
16613;"Vygon GmbH & Co. KG";"52070";"Aachen";"Prager Ring 100"
16614;"Tannermedico A/S";"2970";"Horsholm";"Agern Alle 3"
16616;"DiaVita GmbH";"69117";"Heidelberg";"Neue Schloßstr. 38"
16617;"Salio-Med S.O. Sprenger";"51371";"Leverkusen";"Langenfelder Str. 150"
16619;"Dr. Pandalis GmbH & Cokg Naturprodukte";"49219";"Glandorf";"Füchtenweg 3"
16621;"Begapinol Dr.Schmidt GmbH";"83471";"Berchtesgaden";"Gartenau 11"
16623;"Mam Babyartikel GmbH";"27383";"Scheeßel";"Rudolf-Diesel-Str. 6"
16624;"Medit GmbH Medizintechnik";"72336";"Balingen";"Beethovenstr. 7/2"
16626;"Sunlife GmbH Produktions- Und Vertriebsgesellschaft Mbh";"33161";"Hövelhof";"Schierbusch 3"
16627;"Eurovera Ltd. & Co. KG";"61239";"Ober-Moerlen";"Dieselstrasse 7"
16628;"Gammachim GmbH";"90439";"Nürnberg";"Rothenburger Str. 243"
16629;"Dgs Consulting Sandra Maria Gall";"8750";"Judenburg";"Grünhüblgasse 23"
16630;"Fritz Ruck GmbH";"52249";"Eschweiler";"Juelicher-Str. 115"
